stab_index,axis_unit,silent_sign,phi0,phi1,phi2,phi3,phi4,phi5,phi6,bit0,bit1,bit2,bit3,bit4,bit5,bit6
1076,7,-1,6,4,5,2,3,1,7,0,1,1,0,1,1,1
1077,7,1,6,4,5,2,3,1,7,0,1,0,0,0,0,0
1078,7,1,6,4,5,2,3,1,7,0,0,1,1,1,0,0
1079,7,-1,6,4,5,2,3,1,7,0,0,0,1,0,1,1
1104,7,-1,6,5,4,3,2,1,7,1,1,1,0,1,0,1
1105,7,1,6,5,4,3,2,1,7,1,1,0,0,0,1,0
1106,7,1,6,5,4,3,2,1,7,1,0,1,1,1,1,0
1107,7,-1,6,5,4,3,2,1,7,1,0,0,1,0,0,1
1108,7,1,6,5,4,3,2,1,7,0,1,1,1,0,0,0
1109,7,-1,6,5,4,3,2,1,7,0,1,0,1,1,1,1
1110,7,-1,6,5,4,3,2,1,7,0,0,1,0,0,1,1
1111,7,1,6,5,4,3,2,1,7,0,0,0,0,1,0,0
