pocket_id,pocket_vertices,k5_edge1,k5_edge2,shared_endpoints,unlabeled_vertices,completion
288,3 6 10 17 20 24 28,"(1, 3)","(1, 4)",1,10 17,0
290,3 6 10 20 24 28 35,"(1, 3)","(1, 4)",1,10 35,1
294,3 7 13 20 23 28 31,"(0, 2)","(1, 4)",0,13 31,0
296,3 7 17 20 23 28 31,"(0, 2)","(1, 4)",0,17 31,1
300,3 8 11 15 20 22 28,"(0, 1)","(1, 4)",1,11 15,0
302,3 8 11 20 22 28 35,"(0, 1)","(1, 4)",1,11 35,1
306,3 9 12 14 20 21 28,"(1, 2)","(1, 4)",1,12 14,0
308,3 9 12 20 21 28 35,"(1, 2)","(1, 4)",1,12 35,1
325,4 5 13 17 20 25 26,"(0, 3)","(2, 3)",1,13 17,0
327,4 5 17 20 25 26 31,"(0, 3)","(2, 3)",1,17 31,1
334,4 6 12 18 20 24 26,"(0, 3)","(1, 3)",1,12 18,0
336,4 6 18 20 24 26 31,"(0, 3)","(1, 3)",1,18 31,1
342,4 7 13 15 20 23 26,"(0, 2)","(0, 3)",1,13 15,0
344,4 7 15 20 23 26 33,"(0, 2)","(0, 3)",1,15 33,1
348,4 8 12 16 20 22 26,"(0, 1)","(0, 3)",1,12 16,0
350,4 8 16 20 22 26 33,"(0, 1)","(0, 3)",1,16 33,1
354,4 9 14 20 21 26 27,"(0, 3)","(1, 2)",0,14 27,0
356,4 9 19 20 21 26 27,"(0, 3)","(1, 2)",0,19 27,1
369,5 6 11 19 20 24 25,"(1, 3)","(2, 3)",1,11 19,0
371,5 6 19 20 24 25 31,"(1, 3)","(2, 3)",1,19 31,1
377,5 7 13 14 20 23 25,"(0, 2)","(2, 3)",1,13 14,0
379,5 7 14 20 23 25 34,"(0, 2)","(2, 3)",1,14 34,1
383,5 8 15 20 22 25 27,"(0, 1)","(2, 3)",0,15 27,0
385,5 8 18 20 22 25 27,"(0, 1)","(2, 3)",0,18 27,1
387,5 9 11 16 20 21 25,"(1, 2)","(2, 3)",1,11 16,0
389,5 9 16 20 21 25 34,"(1, 2)","(2, 3)",1,16 34,1
401,6 7 16 20 23 24 27,"(0, 2)","(1, 3)",0,16 27,0
403,6 7 17 20 23 24 27,"(0, 2)","(1, 3)",0,17 27,1
407,6 8 12 14 20 22 24,"(0, 1)","(1, 3)",1,12 14,0
409,6 8 14 20 22 24 35,"(0, 1)","(1, 3)",1,14 35,1
413,6 9 11 15 20 21 24,"(1, 2)","(1, 3)",1,11 15,0
415,6 9 15 20 21 24 35,"(1, 2)","(1, 3)",1,15 35,1
428,7 8 10 19 20 22 23,"(0, 1)","(0, 2)",1,10 19,0
430,7 8 19 20 22 23 33,"(0, 1)","(0, 2)",1,19 33,1
434,7 9 10 18 20 21 23,"(0, 2)","(1, 2)",1,10 18,0
436,7 9 18 20 21 23 34,"(0, 2)","(1, 2)",1,18 34,1
448,8 9 10 17 20 21 22,"(0, 1)","(1, 2)",1,10 17,0
450,8 9 17 20 21 22 35,"(0, 1)","(1, 2)",1,17 35,1
